Amtsbezeichnung,Amtsbezeichnung_Plural,Sortierschlüssel
Gegenpapst,Gegenpäpste,10000
Papst,Päpste,10000
Kardinal,Kardinäle,10010
Kardinaldiakon,Kardinaldiakone,10010
Kardinallegat,Kardinallegaten,10010
Kardinalpriester,Kardinalpriester,10010
Abtbischof,Abtbischöfe,10020
Bischof,Bischöfe,10020
Chorbischof,Chorbischöfe,10020
Erzbischof,Erzbischöfe,10020
Kardinalbischof,Kardinalbischöfe,10020
Suffraganbischof,Suffraganbischöfe,10020
Titularbischof,Titularbischöfe,10020
Weihbischof,Weihbischöfe,10020
Elekt,Elekten,10080
Elekta,Elekta,10085
Abt,Äbte,10100
Fürstabt,Fürstäbte,10100
Gegenabt,Gegenäbte,10100
Generalabt,Generaläbte,10100
gewählter Abt,gewählte Äbte,10100
Äbtissin,Äbtissinnen,10105
Bewerberin um Abbatiat,Bewerberinnen um Abbatiat,10105
Fürstäbtissin,Fürstäbtissinnen,10105
Gegenäbtissin,Gegenäbtissinnen,10105
Mater,Matres,10115
Mutter,Mütter,10115
Vorsteher,Vorsteher,10120
Vorsteherin,Vorsteherin,10125
Speichermeister,Speichermeister,10130
Spitalmeister,Spitalmeister,10130
Großprior,Großprioren,10140
Prior,Prioren,10140
Subprior,Subprioren,10140
Priorin,Priorinnen,10145
Subpriorin,Subpriorinnen,10145
Unterpriorin,Unterpriorinnen,10145
Dompropst,Dompröpste,10150
Fürstpropst,Fürstpröpste,10150
Propst,Pröpste,10150
Propsteibewerber,Propsteibewerberinnen,10150
Stiftspropst,Stiftspröpste,10150
Vizedompropst,Vizedompröpste,10150
Vizepropst,Vizepröpste,10150
Pröpstin,Pröpstinnen,10155
decanus postulatus,decanus postulatus,10160
Dechant,Dechanten,10160
Dekan,Dekane,10160
Dekanatsbewerber,Dekanatsbewerber,10160
Domdechant,Domdechanten,10160
Domdekan,Domdekane,10160
Stiftsdekan,Stiftsdekane,10160
Subdechant,Subdechanten,10160
Subdekan,Subdekane,10160
Vizedekan,Vizedekane,10160
Dechantin,Dechantinnen,10165
Dekanin,Dekaninnen,10165
Domscholaster,Domscholaster,10170
Domschulmeister,Domschulmeister,10170
Domschulrektor,Domschulrektoren,10170
Scholaster,Scholaster,10170
Scholasticus,Scholastici,10170
Stiftsscholaster,Stiftsscholaster,10170
Scholasterin,Scholasterinnen,10175
Scholastica,Scholasticae,10175
Cellerar,Cellerari,10180
Cellerarius,Cellerari,10180
Domcellerar,Domcellerare,10180
Domkellner,Domkellner,10180
Kellerar,Kellerare,10180
Kellerer,Kellerer,10180
Kellner,Kellner,10180
Celleraria,Cellerariae,10185
Kellerin,Kellerinnen,10185
Kellermeisterin,Kellermeisterinnen,10185
Kellnerin,Kellnerinnen,10185
Kellnersche,Kellnerschen,10185
camerarius,Camerarii,10190
Domkämmerer,Domkämmerer,10190
Kämmerer,Kämmerer,10190
Cameraria,Camerariae,10195
Custos,Custodes,10200
Domküster,Domküster,10200
Domkustos,Domkustoden,10200
Küster,Küster,10200
Kustode,Kustoden,10200
Kustos,Kustoden,10200
Stiftskustode,Stiftskustoden,10200
Subkustos,Subkustos,10200
Unterküster,Unterküster,10200
Küsterin,Küsterinnen,10205
Küstersche,Küsterschen,10205
Kustorin,Kustorinnen,10205
Domthesaurar,Domthesaurare,10210
Subthesaurar,Subthesaurare,10210
Thesaurar,Thesaurare,10210
Thesauraria,Thesaurariae,10215
Cantor,Cantores,10220
Domkantor,Domkantoren,10220
Kantor,Kantoren,10220
Kantoreibewerber,Kantoreibewerber,10220
Stiftskantor,Stiftskantoren,10220
Kantorin,Kantorinnen,10225
Komtur,Komture,10300
Landkomtur,Landkomture,10300
Guardian,Guardiane,10310
Vizeguardian,Vizeguardiane,10310
Ministersche,Ministersche,10345
Novizenmeister,Novizenmeister,10500
Novizenmeisterin,Novizenmeisterinnen,10505
Pförtner,Pförtner,10550
Portar,Portarii,10550
Portarius,Portarii,10550
Pförtnerin,Pförtnerinnen,10555
Portnerin,Portnerinnen,10555
granarius,granarii,10560
Infirmar,Infirmare,10570
Infirmarius,Infirmarii,10570
Inhaber der Sonderkanonikate,Inhaber der Sonderkanonikate,10570
Jahrzeitmeister,Jahrzeitmeister,10570
Kammerkleriker,Kammerkleriker,10570
Infirmarin,Infirmarinnen,10575
Pater,Patres,10950
Chorherr,Chorherren,11000
Domherr,Domherren,11000
Domkanoniker,Domkanoniker,11000
Kanonikatsbewerber,Kanonikatsbewerber,11000
Kanoniker,Kanoniker,11000
Kanoniker (Kapitelsliste),Kanoniker (Kapitelsliste),11000
Kapitularkanoniker,Kapitularkanoniker,11000
Regularkanoniker,Regularkanoniker,11000
Chorfrau,Chorfrauen,11005
Kanonikerin,Kanonikerinnen,11005
Kanonisse,Kanonissen,11005
Kanonisse (?),Kanonissen,11005
Stiftsdame,Stiftsdamen,11005
Bewerber um Kanonikat und Scholasterie,Bewerber um Kanonikat und Scholasterie,11010
Hospitalar,Hospitalare,11010
Kanonikatsanwärter,Kanonikatsanwärter,11010
Kanoniker (can. provisus),Kanoniker,11010
Kanonikeranwärter,Kanonikeranwärter,11010
Kanonikerbewerber,Kanonikerbewerber,11010
Kanoniker-Bewerber,Kanoniker-Bewerber,11010
monachus professus,monachus professus,11010
Mönch,Mönche,11010
Mönch?,Mönche?,11010
Profeßmönch,Professmönche,11010
Tertian,Tertiane,11010
Bewerberin um Kanonikat,Bewerberinnen um Kanonikat,11015
Jungfer,Jungfern,11015
Klosterfrau,Klosterfrauen,11015
Nonne,Nonnen,11015
Bruder,Brüder,11020
Schwester,Schwestern,11025
Domsenior,Domsenioren,11030
Senior,Senioren,11030
Senior des Domkapitels,Senioren des Domkapitels,11030
Seniorin,Seniorinnen,11035
Konverse,Konversen,11050
Konversenmeister,Konversenmeister,11050
Konversmönch,Konversmönche,11050
Laienbruder,Laienbrüder,11050
conversa,conversae,11055
